
Bloc|Phase|Objet de la phase|Livrables produits par le prompt|Sections du document final alimentées|Ce que tu valides à cette étape|Points à discuter / inconnues|
Bloc 5 — Outils, données et cadre d’intervention|P26|Usage des modèles d’intelligence artificielle|Familles de modèles, usages autorisés, usages à éviter, logique local / cloud, coûts potentiels, conditions de recommandation|10. Modèles d’intelligence artificielle, coûts et usage, 17. Suite d’outils, matériel et architecture interne, Annexe 3|Quand, pourquoi et dans quel cadre Lugia recommande ou utilise un modèle|Socle technique réel de Lugia, choix entre local et cloud, niveau de prudence par type de données|
Bloc 5 — Outils, données et cadre d’intervention|P27|Confidentialité, conformité et contrat|Niveaux de confidentialité, grille de risque, clauses minimales, responsabilités, traitement des données, points de validation avant mission|11. Donnée, structuration, confidentialité, conformité, 13. Cadre juridique, contractuel et assurance, Annexe 4|Le cadre minimal pour intervenir proprement|Niveau de protection attendu, points juridiques à faire relire, responsabilité exacte de Lugia|
Bloc 5 — Outils, données et cadre d’intervention|P28|Cas sensibles, y compris santé|Finalités recevables, protocole de prudence, règles d’anonymisation, stockage, accès, conditions minimales avant toute offre|12. Cas sensibles, y compris santé, 13. Cadre juridique, contractuel et assurance, Annexe 5, Annexe 11|Ce qui est possible, risqué ou prématuré sur les données sensibles et de santé|Maturité réelle du sujet santé, niveau de prudence maximal, ce qui doit rester hors offre pour le moment|
Bloc 6 — Organisation interne Lugia|P29|Schéma général de fonctionnement interne|Schéma général, rôle du fondateur, répartition des fonctions, circulation de l’information|16. Organisation interne Lugia, 17. Suite d’outils, matériel et architecture interne|Comment Lugia fonctionne au quotidien|Niveau d’organisation réaliste au départ, ce qui est centralisé, ce qui reste manuel|
Bloc 6 — Organisation interne Lugia|P30|Organisation autour des agents spécialisés|Liste des agents, rôle de chacun, déclencheurs d’usage, entrées, sorties, règles de supervision et de validation|16. Organisation interne Lugia, 17. Suite d’outils, matériel et architecture interne, Annexe 12|Comment les agents s’intègrent au fonctionnement de Lugia|Socle technique encore inconnu, nombre réel d’agents, frontières entre automatisation et validation humaine|
Bloc 6 — Organisation interne Lugia|P31|Stockage documentaire et circulation des fichiers|Architecture des dossiers, règles de nommage, versions, séparation Lugia / client, archivage, durée de conservation|16. Organisation interne Lugia, 17. Suite d’outils, matériel et architecture interne, Annexe 4|Comment les documents sont rangés, suivis et retrouvés|Structure exacte de Google Drive, méthode simple de classement, règles minimales à mettre en place|
Bloc 6 — Organisation interne Lugia|P32|Suite d’outils et matériel interne|Liste des outils internes, liste du matériel, puissance attendue, usages par outil, sécurité minimale, logique d’ensemble|17. Suite d’outils, matériel et architecture interne, Annexe 3|L’écosystème concret de production de Lugia|Socle technique réel, machine principale, outils déjà choisis, outils encore à arbitrer|
Bloc 6 — Organisation interne Lugia|P33|Contrôle qualité et validation interne|Étapes de contrôle, points de validation, critères de qualité, règles de relecture, vérifications avant livraison|16. Organisation interne Lugia, 14. Réalisation, planning et soutenabilité|Comment Lugia garantit la qualité de ce qu’elle remet|Niveau d’exigence réaliste au départ, qui valide quoi, quand|
Bloc 6 — Organisation interne Lugia|P34|Partenaires indépendants|Cartographie des profils, rôle de chacun, moment d’activation, visibilité côté client, confidentialité, coût, niveau de confiance|18. Écosystème de partenaires indépendants, Annexe 8, Annexe 9|Comment Lugia s’appuie sur des partenaires sans se fragiliser|Profils déjà identifiés, profils encore manquants, niveau de dépendance acceptable|
Bloc 6 — Organisation interne Lugia|P35|Ressources visuelles et supports|Inventaire des ressources visuelles, logo, brochure, trames de présentation, modèles de couverture, schémas types, supports client|6. Approche client, 16. Organisation interne Lugia, Annexe 7, Annexe 9|Dans quoi Lugia s’appuie visuellement pour présenter et livrer son travail|Ce qui existe déjà, ce qu’il faut créer, niveau de qualité attendu, usages internes ou clients|
Bloc 7 — Économie et soutenabilité|P36|Structure des coûts|Charges fixes, charges variables, dépenses de départ, investissements utiles, zones de vigilance|15. Organisation économique de Lugia, Annexe 6|Combien coûte réellement le fonctionnement de Lugia|Charges certaines, charges encore floues, dépenses à différer ou à engager vite|
Bloc 7 — Économie et soutenabilité|P37|Structure des revenus|Types de revenus, vente par mission, options, revenus complémentaires, part récurrente et non récurrente|15. Organisation économique de Lugia, 5. Offre Lugia, Annexe 6|D’où vient l’argent et sous quelle forme|Offres les plus crédibles économiquement, place du récurrent, niveau d’ambition réaliste|
Bloc 7 — Économie et soutenabilité|P38|Simulation des missions|Scénarios par niveau d’investissement client, temps passé, temps sur site, temps à distance, coût de production, prix, marge|14. Réalisation, planning et soutenabilité, 15. Organisation économique de Lugia, Annexe 6|Ce que rapporte réellement une mission selon plusieurs cas|Temps réel nécessaire, marge cible, écart entre désir commercial et faisabilité|
Bloc 7 — Économie et soutenabilité|P39|Soutenabilité avec plusieurs clients|Modèle de capacité, scénarios 1 à 4 clients, seuils de saturation, règles d’arbitrage, missions compatibles ou non|14. Réalisation, planning et soutenabilité, 15. Organisation économique de Lugia, Annexe 6|Combien de clients Lugia peut suivre sans dégrader la qualité|Niveau de présence sur site soutenable, équilibre entre distance et terrain, seuil de saturation|
Bloc 7 — Économie et soutenabilité|P40|Viabilité du modèle|Objectif de recettes, seuil de rentabilité, niveau minimal d’activité, alertes à surveiller, décisions économiques prioritaires|15. Organisation économique de Lugia, 21. Conclusion stratégique, Annexe 10|Les conditions minimales pour rendre Lugia positive rapidement|Niveau de chiffre d’affaires minimal, arbitrages de départ, vitesse de montée en charge réaliste|
Bloc 8 — Démarrage et priorités|P41|Pré requis avant vente|Liste des indispensables avant vente, offre minimale prête, premiers éléments de preuve, documents de base, éléments non mûrs|20. Feuille de route de développement, 21. Conclusion stratégique, Annexe 10|Ce qui doit être prêt avant de commencer à vendre|Ce qu’il faut finaliser en premier, ce qui peut être laissé en chantier sans risque|
Bloc 8 — Démarrage et priorités|P42|Pré requis avant mission|Liste des indispensables avant mission, cadre contractuel minimal, règles de confidentialité, organisation documentaire, points de contrôle|13. Cadre juridique, contractuel et assurance, 14. Réalisation, planning et soutenabilité, 16. Organisation interne Lugia, Annexe 4, Annexe 9|Ce qui doit être prêt avant d’entrer chez un client|Contrat type, règles de stockage, méthode minimale prête ou non|
Bloc 8 — Démarrage et priorités|P43|Points bloquants et risques immédiats|Liste des blocages, liste des risques immédiats, niveau de gravité, solutions de réduction, sujets à différer|20. Feuille de route de développement, 21. Conclusion stratégique, Annexe 10|Ce qui peut empêcher Lugia de démarrer proprement|Inconnues majeures, risques juridiques, risques techniques, risques commerciaux|
Bloc 8 — Démarrage et priorités|P44|Plan 30 / 60 / 90 jours|Plan d’action à 30 jours, 60 jours, 90 jours, ordre des priorités, sujets à tester, sujets à consolider|20. Feuille de route de développement, 21. Conclusion stratégique, Annexe 10|L’ordre concret de mise en route|Quoi faire d’abord, quoi faire ensuite, quoi repousser|
Bloc 8 — Démarrage et priorités|P45|Tableau prêt / pas prêt|Tableau prêt / pas prêt, montrable / non montrable, vendable / pas encore vendable, décisions de passage à l’action|20. Feuille de route de développement, 21. Conclusion stratégique, Annexe 10, Annexe 11|Vision lucide de ce qui est prêt, de ce qui ne l’est pas, et des prochaines décisions|Niveau réel de maturité du projet à la date du document|
Bloc 8 — Démarrage et priorités|P46|Méthodologie de production du document|Logique du socle commun, travail par blocs, phases, tableau de suivi, validation, assemblage, gestion des zones floues, différence interne / client|Annexe 12|La méthode de construction du document maître et sa logique de mise à jour|Niveau de détail sur la méthode interne, ce qui reste interne ou réutilisable|

